"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray"
"String","int","boolean","string","int","String"
"SPEED_UP_DIAMOND_COST_1_MIN",1,,,,
"SPEED_UP_DIAMOND_COST_1_HOUR",20,,,,
"SPEED_UP_DIAMOND_COST_24_HOURS",260,,,,
"SPEED_UP_DIAMOND_COST_1_WEEK",1000,,,,
"ALLIANCE_CREATE_RESOURCE",,,"Gold",,
"ALLIANCE_CREATE_COST",40000,,,,
"OBSTACLE_RESPAWN_SECONDS",21600,,,,
"OBSTACLE_COUNT_MAX",40,,,,
"ALLIANCE_TROOP_REQUEST_COOLDOWN",1200,,,,
"MAX_TROOP_DONATION_COUNT",5,,,,
"NEWBIE_SHIELD_HOURS",72,,,,
"LOW_SHIELD_HOURS",12,,,,
"LOW_SHIELD_LIMIT_PERCENTAGE",60,,,,
"MEDIUM_SHIELD_HOURS",16,,,,
"MEDIUM_SHIELD_LIMIT_PERCENTAGE",10,,,,
"NEWBIE_PROTECTION_EXP_LEVEL",2,,,,
"STARTING_DIAMONDS",500,,,,
"STARTING_GOLD",750,,,,
"STARTING_ELIXIR",750,,,,
"WORKER_COST_2ND",250,,,,
"WORKER_COST_3RD",500,,,,
"WORKER_COST_4TH",1000,,,,
"WORKER_COST_5TH",2000,,,,
"RESOURCE_DIAMOND_COST_100",1,,,,
"RESOURCE_DIAMOND_COST_1000",5,,,,
"RESOURCE_DIAMOND_COST_10000",25,,,,
"RESOURCE_DIAMOND_COST_100000",125,,,,
"RESOURCE_DIAMOND_COST_1000000",600,,,,
"RESOURCE_DIAMOND_COST_10000000",3000,,,,
"RESOURCE_PRODUCTION_LOOT_PERCENTAGE",50,,,,
"RESOURCE_STORAGE_LOOT_PERCENTAGE",25,,,,
"TOWN_HALL_LOOT_PERCENTAGE",100,,,,
"NEWBIE_PROTECTION_LEVEL",1,,,,
"APP_RATE_XP_LEVEL",11,,,,
"ATTACK_LENGTH_SEC",180,,,,
"ATTACK_PREPARATION_LENGTH_SEC",30,,,,
"FEEDBACK_EMAIL",,,"clashofclans.feedback@supercell.net",,
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,
"OVERLAY_ENABLED",,"TRUE",,,
"CLAN_CASTLE_RADIUS",13,,,,
"CHARTBOOST_ENABLED",,"FALSE",,,
"MIN_PURCHASED_DIAMONDS_NO_ADS",14000,,,,
"LOW_SHIELD_STAR_LIMIT",1,,,,
"MEDIUM_SHIELD_STAR_LIMIT",3,,,,
"RESOURCE_ICON_LIMIT",15,,,,
"CLAN_TOURNAMENT_ENABLED",,"TRUE",,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,
"ALLIANCE_SCORE_CONTRIBUTION_PERCENTAGE",,,,50,
,,,,25,
,,,,12,
,,,,10,
,,,,3,
"CHARTBOOST_URL",,,"http://www.chartboost.com/api/more.json?",,
"GAMECENTER_REAUTHORIZE",,"FALSE",,,
"BILLING_PACK_NAMES_FROM_CSV",,"FALSE",,,
"FAQ_URL",,,"http://webcontent.supercell.net/coc_faq",,
"FORUMS_URL",,,"http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans",,
"COMBINED_RESOURCE_STORAGE_MAX_LOOT",140000,,,,
"SCORE_MULTIPLIER_ON_ATTACK_LOSE",2,,,,
"HIDDEN_BUILDING_APPEAR_DESTRUCTION_PERCENTAGE",50,,,,
"WORKER_FOR_ZERO_BUILD_TIME",,"TRUE",,,
"GAME_FACEBOOK_URL",,,"http://www.facebook.com/ClashofClans",,
"TRAIN_CANCEL_MULTIPLIER",100,,,,
"BUILD_CANCEL_MULTIPLIER",50,,,,
"NO_MONEY_COLOR_RED",255,,,,
"NO_MONEY_COLOR_GREEN",0,,,,
"NO_MONEY_COLOR_BLUE",0,,,,
"SCORING_ONLY_FROM_MM",,"FALSE",,,
"PAYING_USER_EMAIL_ID",249,,,,
"APPLY_REPLAY_COMPATIBILITY_IF_CONTENT_VERSION",0,,,,
"MIN_COMPATIBLE_CONTENT_VERSION_FOR_REPLAY",0,,,,
"LOW_MEM_DEVICES",,,,,"iPod1"
,,,,,"iPod2"
,,,,,"iPod3"
,,,,,"iPod4"
,,,,,"iPad1"
,,,,,"iPhone2"
"HIGH_GFX_DEVICES",,,,,"iPad2"
,,,,,"iPad3"
,,,,,"iPod5"
,,,,,"iPhone4"
,,,,,"iPhone5"
"SEND_EVENTS_TO_TAPJOY",,"TRUE",,,
"SEND_EVENTS_TO_CHARTBOOST",,"TRUE",,,
"SEND_EVENTS_TO_FLURRY",,"TRUE",,,
"SEND_EVENTS_TO_ADCOLONY",,"TRUE",,,
"SEND_EVENTS_TO_INMOBI",,"TRUE",,,
"SPEED_UP_CONFIRMATION_ENABLED",,"TRUE",,,
"DISABLE_ANIMATOR_RESET",,"FALSE",,,
"BUFFER_SERVER_COMMANDS",,"TRUE",,,
"HIDE_ISO_ENGINE_IN_SHOP",,"TRUE",,,
"SPELL_CANCEL_MULTIPLIER",50,,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,
