TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
string,string,string,string,string,string,string,string,string,string
TID_LANGUAGE_LOCALIZED_NAME,English,Français,Deutsch,Español,Italiano,Nederlands,Norsk,Português,Türkçe
TID_BUILDING_HOUSE,House,Maison,Haus,Casa,Casa,Huis,Hus,Casa,Ev
TID_BUILDING_HOUSING,Army Camp,Camp militaire,Armeelager,Campamento,Accampamento militare,Legerkamp,Arméleir,Campo do Exército,Ordu Kampı
TID_BUILDING_TOWN_HALL,Town Hall,Hôtel de ville,Rathaus,Ayuntamiento,Municipio,Gemeentehuis,Rådhus,Centro da Cidade,Köy Binası
TID_BUILDING_ELIXIR_PUMP,Elixir Collector,Extracteur d'élixir,Elixiersammler,Recolector de elixir,Estrattore di elisir,Elixirpomp,Eliksirsamler,Coletor de Elixir,İksir Toplayıcı
TID_BUILDING_ELIXIR_STORAGE,Elixir Storage,Réservoir d'élixir,Elixierlager,Almacén de elixir,Deposito di elisir,Elixirdepot,Eliksirlager,Armazenagem de Elixir,İksir Deposu
TID_BUILDING_GOLD_MINE,Gold Mine,Mine d'or,Goldmine,Mina de oro,Miniera d´oro,Goudmijn,Gullgruve,Mina de Ouro,Altın Madeni
TID_BUILDING_GOLD_STORAGE,Gold Storage,Réserve d'or,Goldlager,Almacén de oro,Deposito d'oro,Gouddepot,Gullager,Armazenagem de Ouro,Altın Deposu
TID_BUILDING_BARRACK,Barracks,Caserne,Kaserne,Cuartel,Caserma,Kazerne,Brakker,Quartel,Kışla
TID_BUILDING_CANNON,Cannon,Canon,Kanone,Cañón,Cannone,Kanon,Kanon,Canhão,Top
TID_BUILDING_TESLA_TOWER,Hidden Tesla,Tesla camouflé,Verborgener Tesla,Tesla oculto,Tesla occulta,Verborgen tesla,Skjult tesla,Tesla oculta,Gizli Tesla
TID_BUILDING_WALL,Wall,Rempart,Mauer,Muro,Muro,Muur,Vegg,Muro,Duvar
TID_BUILDING_FENCE,Fence,Barrière,Zaun,Valla,Staccionata,Hek,Gjerde,Cerca,Çit
TID_BUILDING_WIZARD_TOWER,Wizard Tower,Tour de sorciers,Magierturm,Torre de magos,Torre dello stregone,Tovenaartoren,Sjamanstårn,Torre do Mago,Sihirbaz Kulesi
TID_BUILDING_AIR_DEFENSE,Air Defense,Défense antiaérienne,Luftabwehr,Defensa aérea,Difesa aerea,Trebuchet,Luftforsvar,Defesa Aérea,Hava Savunması
TID_BUILDING_MORTAR,Mortar,Mortier,Minenwerfer,Mortero,Mortaio,Mortier,Morter,Morteiro,Havan
TID_WORKER_BUILDING,Builder's Hut,Cabane d'ouvrier,Bauhütte,Choza de constructor,Capanna del muratore,Arbeidershut,Byggerhytte,Cabana do Construtor,İnşaatçı Kulübesi
TID_BUILDING_LABORATORY,Laboratory,Laboratoire,Labor,Laboratorio,Laboratorio,Laboratorium,Laboratorium,Laboratório,Laboratuvar
TID_TRAP_BOMB,Bomb Trap,Piège à bombe,Bombenfalle,Trampa bomba,Trappola bomba,Bomval,Bombefelle,Armadilha de Bomba,Bombalı Tuzak
TID_TRAP_EJECT,Spring Trap,Piège à ressort,Tellereisen,Trampa de salto,Trappola a scatto,Veerval,Dyrefelle,Armadilha de Mola,Yaylı Tuzak
TID_TRAP_TIMETRAP,Time Trap,Time Trap,Zeitfalle,Trampa de tiempo,Trappola a tempo,Tijdval,Tidsfelle,Armadilha de Tempo,Zaman Tuzağı
TID_BUTTON_SPEEDUP,Finish Now,Accélérer,Jetzt beenden,Terminar,Completa,Nu voltooien,Fullfør nå,Concluir Agora,Şimdi Bitir
TID_BUTTON_UPGRADE,Upgrade,Améliorer,Upgrade,Mejorar,Migliora,Verbeteren,Oppgrader,Melhorar,Yükselt
TID_BUTTON_ATTACK,Attack!,Attaquer!,Angriff!,¡Atacar!,Attacco!,Aanvallen!,Angrip!,Ataque!,Saldır!
TID_BUTTON_SHOP,Shop,Magasin,Shop,Tienda,Negozio,Winkel,Butikk,Comprar,Dükkan
TID_BUTTON_SELL,Sell,Vendre,Verkaufen,Vender,Vendi,Verkopen,Selg,Vender,Sat
TID_BUTTON_CANCEL,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Annuleren,Avbryt,Cancelar,İptal
TID_BUTTON_TRAIN,Train Troops,Former,Truppen trainieren,Entrenar,Addestra truppe,Troepen trainen,Tren soldater,Treinar Tropas,Asker Eğit
TID_BUTTON_COLLECT,Collect,Ramasser,Sammeln,Recoger,Prendi,Verzamelen,Samle,Coletar,Topla
TID_BUTTON_INFO,Info,Informations,Info,Info,Informazioni,Info,Info,Informações,Bilgi
TID_BUTTON_CLEAR,Remove,Supprimer,Entfernen,Eliminar,Rimuovi,Verwijderen,Fjern,Remover,Kaldır
TID_BUTTON_HOME,Return Home,Rentrer,Zurück nach Hause,Volver,Torna a casa,Terug naar huis,Vend hjem igjen,Voltar,Eve Dön
TID_BUTTON_ACCEPT,Accept,Accepter,Annehmen,Aceptar,Accetta,Accepteren,Godta,Aceitar,Kabul Et
TID_BUTTON_REJECT,Reject,Rejeter,Ablehnen,Rechazar,Rifiuta,Weigeren,Avslå,Rejeitar,Reddet
TID_BUTTON_SEND,Send,Envoyer,Senden,Enviar,Invia,Versturen,Send,Enviar,Gönder
TID_BUTTON_JOIN,Join,Rejoindre,Beitreten,Unirse,Partecipa,Meedoen,Delta,Juntar-se,Katıl
TID_TAB_GLOBAL_CHAT,Global,Général,Global,General,Globale,Algemeen,Global,Global,Global
TID_TAB_ALLIANCE_CHAT,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan
TID_OBSTACLE_TREE,Tree,Arbre,Baum,Árbol,Albero,Boom,Tre,Árvore,Ağaç
TID_OBSTACLE_STONE,Stone,Rocher,Stein,Piedra,Pietra,Steen,Stein,Pedra,Taş
TID_OBSTACLE_BUSH,Bush,Buisson,Busch,Arbusto,Cespuglio,Struik,Busk,Arbusto,Çalı
TID_OBSTACLE_TRUNK,Trunk,Tronc,Stamm,Tronco,Tronco,Stronk,Kiste,Tronco,Kütük
TID_OBSTACLE_MUSHROOM,Mushroom,Champignon,Pilz,Seta,Fungo,Paddenstoel,Sopp,Cogumelo,Mantar
TID_DECORATION_BARBARIAN_STATUE,Mighty Statue,Grande statue,Große Statue,Estatua de poder,Statua imponente,Machtig standbeeld,Mektig statue,Estátua Poderosa,Muazzam Heykel
TID_DECORATION_TORCH,Torch,Torche,Fackel,Antorcha,Torcia,Zaklamp,Fakkel,Tocha,Meşale
TID_DECORATION_WHITE_FLAG,White Flag,Drapeau blanc,Weiße Flagge,Bandera blanca,Bandiera bianca,Witte vlag,Hvitt flagg,Bandeira Branca,Beyaz Bayrak
TID_DECORATION_SKULL_FLAG,Pirate Flag,Drapeau de pirate,Piratenflagge,Bandera pirata,Bandiera pirata,Piratenvlag,Piratflagg,Bandeira Pirata,Korsan Bayrağı
TID_DECORATION_FLOWERBOX1,Cornflower Bed,Lit de bleuets,Kornblumenbeet,Huerto de acianos,Aiuola di fiordalisi,Korenbloembed,Kornblomst,Canteiro de Centáuria,Çiçek Tarhı
TID_DECORATION_FLOWERBOX2,Sunflower Bed,Lit de tournesols,Sonnenblumenbeet,Huerto de girasoles,Aiuola di girasoli,Zonnebloembed,Solsikke,Canteiro de Girassol,Ayçiçeği Tarhı
TID_DECORATION_WINDMETER,Weather Vane,Girouette,Wetterfahne,Veleta,Banderuola,Weervaantje,Værhane,Cata-Vento,Rüzgar Gülü
TID_DECORATION_DOWNARROW_FLAG,Rally Flag,Drapeau de rassemblement,Versammlungsflagge,Bandera de reunión,Bandiera a scacchi,Rallyvlag,Samlingsflagg,Bandeira de Rally,Ralli Bayrağı
TID_DECORATION_UPARROW_FLAG,Point Flag,Drapeau de positionnement,Punktflagge,Bandera de dirección,Bandiera di posizione,Richtingvlag,Punktflagg,Bandeira de Ponto,Nokta Bayrağı
TID_DECORATION_SKULL_ALTAR,Ancient Skull,Crâne ancien,Alter Schädel,Calavera antigua,Teschio antico,Oude schedel,Gammel skalle,Crânio Antigo,Antika Kafatası
TID_DECORATION_NATIONAL_FLAG,National Flag,Drapeau national,Nationalflagge,Bandera nacional,Bandiera nazionale,Nationale vlag,Nasjonalflagg,Bandeira nacional,Milli Bayrak
TID_TIME_DAYS,d,j,T,d,g,d,d,d,g
TID_TIME_HOURS,h,h,h,h,h,uur,t,h,s
TID_TIME_MINS,m,min,m,m,m,m,m,m,d
TID_TIME_SECS,s,s,s,s,s,s,s,s,n
TID_BATTLE_TIME_TITLE,Battle ends in:,La bataille prend fin dans :,Kampf endet in:,La batalla acaba en:,La battaglia termina tra:,Gevecht eindigt over:,Slaget slutter om:,Batalha termina em:,Savaş bitişi:
TID_POPUP_HEADER_WARNING,Warning!,Attention !,Achtung!,¡Cuidado!,Attenzione!,Waarschuwing!,Advarsel!,Atenção!,Uyarı!
TID_POPUP_UNDER_ATTACK,"You are under attack! Please wait, your village will load automatically.",On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village.,"Du wirst angegriffen! Bitte warte, dein Dorf lädt sich automatisch.","¡Te están atacando! Espera, tu aldea se cargará automáticamente.","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente.","Je wordt aangevallen! Momentje geduld, je dorp wordt automatisch geladen.","Du er under angrep! Vent litt, landsbyen lastes automatisk.","Você está sob ataque! Por favor aguarde, sua aldeia será carregada automaticamente.","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek."
TID_POPUP_TRY_AGAIN,Estimated time left:,Temps restant estimé :,Geschätzte verbleibende Zeit:,Tiempo restante estimado:,Tempo restante stimato:,Resterende tijd:,Anslått tid igjen:,Tempo estimado:,Kalan tahmini süre:
TID_BUTTON_OKAY,Okay,OK,Okay,Vale,Okay,Oké,OK,Ok,Tamam
TID_POPUP_TRAIN_TITLE,Train <limit>,Former <limit>,<limit> trainieren,Entrenar <limit>,Addestra <limit>,Train <limit>,Tren <limit>,Treino <limit>,<limit> Eğit
TID_INVALID_PLACEMENT,Invalid location! Tap on an empty area,Emplacement non valide ! Touchez une zone libre,Ungültiger Ort! Tippe auf ein leeres Gebiet,¡Lugar no válido! Toca una zona vacía.,Luogo vietato! Tocca un´area libera.,Ongeldige locatie! Tik op een leeg gebied,Ugyldig plassering! Trykk på et tomt område,Local inválido! Toque em uma área vazia,Geçersiz konum! Boş bir alana dokun
TID_ALL_TROOPS_USED,All forces deployed,Toutes les forces ont été déployées,Alle Truppen eingesetzt,Desplegadas todas las unidades.,Tutte le forze schierate,Alle eenheden zijn ingezet,Alle styrker utplassert,Todas as forças implantadas,Tüm kuvvetler konuşlandı
TID_OTHER_TROOP_LEFT,Select a different unit,Sélectionnez une autre unité,Wähle eine andere Einheit,Selecciona una unidad diferente.,Seleziona un´altra unità,Kies een andere eenheid,Velg en annen enhet,Selecione uma unidade diferente,Farklı bir birim seç
TID_DIAMONDS,Gems,Gemmes,Juwelen,Gemas,Gemme,Edelstenen,Smykker,Pedras,Taş
TID_GOLD,Gold,Or,Gold,Oro,Oro,Goud,Gull,Ouro,Altın
TID_ELIXIR,Elixir,Élixir,Elixier,Elixir,Elisir,Elixer,Eliksir,Elixir,İksir
TID_ITEM_LEVEL,<item> (Level <number>),<item> (niveau <number>),<item> (Level <number>),<item> (nivel <number>),<item> (Level <number>),<item> (level <number>),<item> (nivå <number>),<item> (Nível <number>),<item> (Seviye <number>)
TID_SHOP_TITLE,Shop,Magasin,Shop,Tienda,Negozio,Winkel,Butikk,Comprar,Dükkan
TID_ITEM_BROKEN,<item> (Broken),<item> (cassé),<item> (Kaputt),<item> (roto),<item> (Broken),<item> (kapot),<item> (ødelagt),<item> (Quebrado),<item> (Bozuk)
TID_BUILDING_ARCHER_TOWER,Archer Tower,Tour d'archers,Bogenschützenturm,Torre de arqueros,Torre dell´arciere,Schuttertoren,Bueskyttertårn,Torre do Arqueiro,Okçu Kulesi
TID_BUILDING_CLASS_ARMY,Army Buildings,Bâtiments militaires,Armeegebäude,Edificios militares,Edifici dell´esercito,Legergebouwen,Armébygninger,Edifícios Militares,Askeri Binalar
TID_BUILDING_CLASS_DEFENSE,Defenses,Défenses,Verteidigungen,Defensas,Difese,Verdedigingswerken,Forsvarsverker,Defesas,Savunma
TID_BUILDING_CLASS_RESOURCE,Resources,Ressources,Ressourcen,Recursos,Risorse,Bronnen,Ressurser,Recursos,Kaynaklar
TID_BUILDING_CLASS_WALL,Walls,Remparts,Mauern,Muros,Mura,Muren,Vegger,Muros,Duvarlar
TID_NOT_ENOUGH_WORKERS_HEADER,All builders are busy!,Tous les ouvriers sont occupés !,Alle Bauarbeiter sind beschäftigt!,¡No hay constructores libres!,Tutti i muratori sono occupati!,Alle werkers zijn bezig!,Alle byggere er opptatt!,Todos os construtores estão ocupados!,Tüm inşaatçılar meşgul!
TID_NOT_ENOUGH_WORKERS_TEXT,Complete the previous building and free up a builder?,Terminer le bâtiment précédent et libérer un ouvrier ?,Vorheriges Gebäude abschließen und einen Bauarbeiter freimachen?,¿Quieres completar el edificio anterior para liberar a un constructor?,Vuoi completare l'edificio precedente e liberare un muratore?,Het vorige gebouw voltooien en een bouwer vrij maken?,Fullføre den forrige bygningen og frigjøre en bygger?,Completar a construção anterior e liberar um construtor?,Önceki binayı tamamlayıp bir inşaatçıyı boşa çıkar?
TID_NOT_ENOUGH_RESOURCE,You don't have enough <resource>!,Vous n'avez pas assez de : <resource> !,Du hast nicht genug hiervon: <resource>!,¡Necesitas más <resource>!,Non hai abbastanza <resource>!,Je hebt te weinig <resource>!,Du har ikke nok <resource>!,Você não tem <resource> suficiente!,Yeterli <resource> yok!
TID_TOWN_HALL_LEVEL_TOO_LOW,You need to upgrade your Town Hall to level <number>!,Vous devez améliorer votre hôtel de ville au niveau <number> !,Du musst dein Rathaus auf Level <number> verbessern!,¡Debes mejorar tu ayuntamiento al nivel <number>!,Devi migliorare il tuo Municipio al livello <number>!,Je moet je stadhuis naar level <number> upgraden!,Du må oppgradere rådhuset til nivå <number>!,Você precisa atualizar seu Centro da Cidade ao nível <number>!,Köy Binasını <number>. seviyeye yükseltmen gerekiyor!
TID_POPUP_ABOUT_TO_SELL_TITLE,Sell building,Vendre le bâtiment,Gebäude verkaufen,Vender edificio,Vendi edificio,Gebouw verkopen,Selg bygning,Vender edifício,Binayı sat
TID_POPUP_TEXT_ABOUT_TO_SELL,Do you really want to sell <item> for <number> <resource>?,Voulez-vous vraiment vendre <item> pour <number> <resource>?,"Möchtest du ,,<item>\q wirklich für <number> <resource> verkaufen?",¿Seguro que quieres vender <item> por <number> <resource>?,Vuoi davvero vendere <item> per <number> <resource>?,Wil je <item> echt voor <number> <resource> verkopen?,Vil du virkelig selge <item> for <number> <resource>?,Você realmente quer vender <item> por <number> <resource>?,<item> <number> <resource> karşılığı satılsın mı?
TID_POPUP_UPGRADE_TITLE,Upgrade to level <number>?,Améliorer au niveau <number> ?,Auf Level <number> verbessern?,¿Mejorar al nivel <number>?,Portare al livello <number>?,Upgraden naar level <number>?,Oppgradere til nivå <number>?,Atualizar para nível <number>?,<number>. seviyeye yükseltilsin mi?
TID_POPUP_UPGRADE_BUILD_MORE,Build more:,Construire davantage :,Mehr bauen:,Construye más:,Costruisci più:,Meer bouwen:,Bygg mer:,Construir mais:,Daha inşa et:
TID_RESOURCE_CAP_FULL_GOLD,Build more or upgrade existing Gold Storages!,Construisez plus de réserves d'or ou améliorez celles que vous possédez déjà !,Mehr bauen oder vorhandene Goldlager verbessern!,¡Construye más o mejora los almacenes de oro que ya tienes!,Costruisci altri Depositi d´oro o migliora quelli esistenti!,Bouw meer of upgrade bestaande gouddepots!,Bygg flere eller oppgrader eksisterende gullagre!,Construir mais ou atualizar Armazenagens de Ouro existentes!,Daha inşa et veya mevcut Altın Depolarını yükselt!
TID_RESOURCE_CAP_FULL_ELIXIR,Build more or upgrade existing Elixir Storages!,Construisez plus de réservoirs d'élixir ou améliorez ceux que vous possédez déjà !,Mehr bauen oder vorhandene Elixierlager verbessern!,¡Construye más o mejora los almacenes de elixir que ya tienes!,Costruisci altri Depositi di elisir o migliora quelli esistenti!,Bouw meer of upgrade bestaande elixirdepots!,Bygg flere eller oppgrader eksisterende eliksirlagre!,Construir mais ou atualizar Armazenagens de Elixir existentes!,Daha inşa et veya mevcut İksir Depolarını yükselt!
TID_POPUP_FRIEND_LIST_TITLE,Friends,Amis,Freunde,Amigos,Amici,Vrienden,Venner,Amigos,Arkadaşlar
TID_CONNECT_WITH_FACEBOOK_BUTTON,Connect to Facebook,Se connecter à Facebook,Mit Facebook verbinden,Conectar a Facebook,Connetti a Facebook,Maak verbinding met Facebook,Koble til Facebook,Conectar ao Facebook,Facebook'a bağlan
TID_LOGIN_TO_FACEBOOK_BUTTON,Login to Facebook,S'identifier sur Facebook,Bei Facebook anmelden,Iniciando sesión en Facebook,Acceso a Facebook in corso,Meld je aan op Facebook,Logge på Facebook,Acesso ao Facebook,Facebook oturumu aç
TID_LOADING_FACEBOOK_FRIENDS,Loading friend list...,Chargement de la liste d'amis...,Freundesliste laden ...,Cargando lista de amigos...,Caricamento lista amici...,Vriendenlijst wordt geladen...,Laster venneliste ...,Carregando lista de amigos ...,Arkadaş listesi okunuyor...
TID_OBSTACLE_TOMBSTONE,Tombstone,Pierre tombale,Grabstein,Lápida,Lapide,Grafsteen,Gravstein,Lápide,Mezar Taşı
TID_NO_FACEBOOK_FRIENDS,Unable to find Facebook friends who play Clash of Clans,Impossible de trouver vos amis Facebook qui jouent à Clash of Clans,"Es konnten keine Facebook-Freunde gefunden werden, die Clash of Clans spielen",No se han encontrado amigos de Facebook que jueguen a Clash of Clans.,Non è stato possibile trovare amici di Facebook che giocano a Clash of Clans.,Kan geen Facebook-vrienden vinden die Clash of Clans spelen,Finner ikke Facebook-venner som spiller Clash of Clans,Não foi possível encontrar os amigos do Facebook para jogar Clash of Clans,Clash of Clans oynayan Facebook arkadaşları bulunamıyor
TID_ATTACK_FAIL_NO_MATCHES,Unable to find villages to attack!,Impossible de trouver des villages à attaquer !,Es könnten keine angreifbaren Dörfer gefunden werden!,¡No se han encontrado aldeas que atacar!,Non è stato possibile trovare dei villaggi da attaccare!,Kan geen dorpen vinden om aan te vallen!,Finner ikke landsbyer å angripe!,Não foi possível encontrar aldeias para atacar!,Saldırılacak köy bulunamıyor!
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK,Can't attack! Village is already under attack.,Attaque impossible ! Ce village est déjà en cours d'attaque !,Angriff nicht möglich! Dorf wird bereits angegriffen.,¡No se puede atacar! La aldea ya está siendo atacada.,Non è possibile attaccare! Il villaggio è già sotto attacco.,Je kunt niet aanvallen! Het dorp wordt al aangevallen.,Kan ikke angripe! Landsbyen er allerede under angrep.,Não pode atacar! Vila já está sob ataque.,Saldırılamaz! Köy zaten saldırıya uğradı.
TID_ATTACK_FAIL_TARGET_ONLINE,Can't attack! Village owner is online.,Attaque impossible ! Le propriétaire de ce village est en ligne.,Angriff nicht möglich! Dorfbesitzer ist online.,¡No se puede atacar! El dueño de la aldea está conectado.,Non è possibile attaccare! Il proprietario del villaggio è online.,Je kunt niet aanvallen! De eigenaar van het dorp is online.,Kan ikke angripe! Landsbyeieren er tilkoblet.,Não pode atacar! Proprietário da vila está online.,Saldırılamaz! Köyün sahibi çevrimiçi.
TID_ATTACK_FAIL_SAME_ALLIANCE,Can't attack your own clan members!,Attaque impossible ! Vous ne pouvez attaquer votre propre clan !,Angriff auf deine eigenen Clanmitglieder nicht möglich!,¡No puedes atacar a miembros de tu clan!,Non puoi attaccare i membri del tuo stesso clan.,Je kunt geen leden van je eigen clan aanvallen!,Kan ikke angripe dine egne klanmedlemmer!,Não pode atacar seus próprios membros do clã!,Kendi klan üyelerine saldıramazsın!
TID_ATTACK_FAIL_SHIELD,Can't attack! Village has active shield,Attaque impossible ! Ce village possède un bouclier de protection,Angriff nicht möglich! Dorf verfügt über aktives Schild,¡No se puede atacar! La aldea tiene un escudo activo.,Non è possibile attaccare! Il villaggio ha uno scudo attivo,Je kunt niet aanvallen! Dorp heeft een actief schild.,Kan ikke angripe! Landsbyen har aktivt skjold,Não pode atacar! Vila tem escudo ativo,Saldırılamaz! Köyün etkin kalkanı var
TID_ATTACK_FAIL_LEVEL_DIFFERENCE,Can't attack! Level difference is more than <level>,Attaque impossible ! La différence de niveaux est de plus de <level>,Angriff nicht möglich! Levelunterschied höher als <level>,¡No se puede atacar! La diferencia de nivel es superior a <level>.,Non è possibile attaccare! Il livello di difesa è più alto di <level>,Je kunt niet aanvallen! Levelverschil is meer dan <level>,Kan ikke angripe! Nivåforskjellen er mer enn <level>,Não pode atacar! Diferença de nível é maior que <level>,Saldırılamaz! Seviye farkı <level> seviyeden fazla
